"title","author","subject","abstract","date"
"stochastic integration with respect to cylindrical lévy processes in hilbert spaces","gergely bodó, markus riedle","probability","in this work, we present a comprehensive theory of stochastic integration with respect to arbitrary cylindrical lévy processes in hilbert spaces. since cylindrical lévy processes do not enjoy a semi-martingale decomposition, our approach relies on an alternative approach to stochastic integration by decoupled tangent sequences. the space of deterministic integrands is identified as a modular space described in terms of the characteristics of the cylindrical lévy process. the space of random integrands is described as the space of predictable processes whose trajectories are in the space of deterministic integrands almost surely. the derived space of random integrands is verified as the largest space of potential integrands, based on a classical definition of stochastic integrability. we apply the introduced theory of stochastic integration to establish a dominated convergence theorem.",2024-03-15
"stationary non-radial localized patterns in the planar swift-hohenberg pde: constructive proofs of existence","matthieu cadiot, jean-philippe lessard, jean-christophe nave","analysis of pdes","in this paper, we present a methodology for establishing constructive proofs of existence of smooth, stationary, non-radial localized patterns in the planar swift-hohenberg equation. specifically, given an approximate solution $u_0$, we construct an approximate inverse for the linearization around $u_0$, enabling the development of a newton-kantorovich approach. consequently, we derive a sufficient condition for the existence of a unique localized pattern in the vicinity of $u_0$. the verification of this condition is facilitated through a combination of analytic techniques and rigorous numerical computations. moreover, an additional condition is derived, establishing that the localized pattern serves as the limit of a family of periodic solutions (in space) as the period tends to infinity. the integration of analytical tools and meticulous numerical analysis ensures a comprehensive validation of this condition. to illustrate the efficacy of the proposed methodology, we present computer-assisted proofs for the existence of three distinct unbounded branches of periodic solutions in the planar swift-hohenberg equation, all converging towards a localized planar pattern, whose existence is also proven constructively. all computer-assisted proofs, including the requisite codes, are accessible on github at \cite{julia_cadiot}.",2024-03-15
"excluding cosmetic surgeries on hyperbolic 3-manifolds","david futer, jessica s. purcell, saul schleimer","geometric topology","this paper employs knot invariants and results from hyperbolic geometry to develop a practical procedure for checking the cosmetic surgery conjecture on any given one-cusped manifold. this procedure has been used to establish the following computational results. first, we verify that all knots up to 19 crossings, and all one-cusped 3-manifolds in the snappy census, do not admit any purely cosmetic surgeries. second, we check that a hyperbolic knot with at most 15 crossings only admits chirally cosmetic surgeries when the knot itself is amphicheiral. third, we enumerate all knots up to 13 crossings that share a common dehn fillings with the figure-8 knot. the code that verifies these results is publicly available on github.",2024-03-15
"free doubly-infinitary distributive categories are cartesian closed","fernando lucatelli nunes, matthijs vákár","category theory","we delve into the concept of categories with products that distribute over coproducts, which we call doubly-infinitary distributive categories. we show various instances of doubly-infinitary distributive categories aiming for a comparative analysis with established notions such as extensivity, infinitary distributiveness, and cartesian closedness. our exploration reveals that this condition represents a substantial extension beyond the classical understanding of infinitary distributive categories. our main theorem establishes that free doubly-infinitary distributive categories are cartesian closed. we end the paper with remarks on non-canonical isomorphisms, open questions, and future work.",2024-03-15
"boundedness properties of modified averaging operators","j. m. aldaz, a. caldera","functional analysis","we study certain boundedness properties of modified averaging operators, showing that on geometrically doubling spaces superaveraging operators are always $l^1$-bounded (but not necessarily $l^p$-bounded for $p > 1$). in turn, the $l^1$ boundedness of the superaveraging operators for any $t > 1$, entails that the space is geometrically doubling.",2024-03-15
"a mean-field game of market entry: portfolio liquidation with trading constraints","guanxing fu, paul p. hager, ulrich horst","mathematical finance","we consider both $n$-player and mean-field games of optimal portfolio liquidation in which the players are not allowed to change the direction of trading. players with an initially short position of stocks are only allowed to buy while players with an initially long position are only allowed to sell the stock. under suitable conditions on the model parameters we show that the games are equivalent to games of timing where the players need to determine the optimal times of market entry and exit. we identify the equilibrium entry and exit times and prove that equilibrium mean-trading rates can be characterized in terms of the solutions to a highly non-linear higher-order integral equation with endogenous terminal condition. we prove the existence of a unique solution to the integral equation from which we obtain the existence of a unique equilibrium both in the mean-field and the $n$-player game.",2024-03-15
"boundedness of some convolution-type operators on metric measure spaces","j. m. aldaz","functional analysis","we explore boundedness properties in the context of metric measure spaces, of some natural operators of convolution type whose study is suggested by certain transformations used in computer vision.",2024-03-15
"model free collision aggregation for the computation of escape distributions","laetitia laguzet, gabriel turinici","computational physics","motivated by a heat radiative transport equation, we consider a particle undergoing collisions in a space-time domain and propose a method to sample its escape time, space and direction from the domain. the first step of the procedure is an estimation of how many elementary collisions is safe to take before chances of exiting the domain are too high; then these collisions are aggregated into a single movement. the method does not use any model nor any particular regime of parameters. we give theoretical results both under the normal approximation and without it and test the method on some benchmarks from the literature. the results confirm the theoretical predictions and show that the proposal is an efficient method to sample the escape distribution of the particle.",2024-03-15
"construction of arithmetic teichmuller spaces iv: proof of the abc-conjecture","kirti joshi","algebraic geometry","this is a continuation of my work on arithmetic teichmuller spaces developed in the present series of papers. in this paper, i show that the theory of arithmetic teichmuller spaces leads, using shinichi mochizuki's rubric, to a proof of the $abc$-conjecture (as asserted by mochizuki).",2024-03-15
"convergence and trade-offs in riemannian gradient descent and riemannian proximal point","david martínez-rubio, christophe roux, sebastian pokutta","optimization and control","in this work, we analyze two of the most fundamental algorithms in geodesically convex optimization: riemannian gradient descent and (possibly inexact) riemannian proximal point. we quantify their rates of convergence and produce different variants with several trade-offs. crucially, we show the iterates naturally stay in a ball around an optimizer, of radius depending on the initial distance and, in some cases, on the curvature. in contrast, except for limited cases, previous works bounded the maximum distance between iterates and an optimizer only by assumption, leading to incomplete analyses and unquantified rates. we also provide an implementable inexact proximal point algorithm yielding new results on minmax problems, and we prove several new useful properties of riemannian proximal methods: they work when positive curvature is present, the proximal operator does not move points away from any optimizer, and we quantify the smoothness of its induced moreau envelope. further, we explore beyond our theory with empirical tests.",2024-03-15
"structured evaluation of synthetic tabular data","scott cheng-hsin yang, baxter eaves, michael schmidt, ken swanson, patrick shafto","machine learning","tabular data is common yet typically incomplete, small in volume, and access-restricted due to privacy concerns. synthetic data generation offers potential solutions. many metrics exist for evaluating the quality of synthetic tabular data; however, we lack an objective, coherent interpretation of the many metrics. to address this issue, we propose an evaluation framework with a single, mathematical objective that posits that the synthetic data should be drawn from the same distribution as the observed data. through various structural decomposition of the objective, this framework allows us to reason for the first time the completeness of any set of metrics, as well as unifies existing metrics, including those that stem from fidelity considerations, downstream application, and model-based approaches. moreover, the framework motivates model-free baselines and a new spectrum of metrics. we evaluate structurally informed synthesizers and synthesizers powered by deep learning. using our structured framework, we show that synthetic data generators that explicitly represent tabular structure outperform other methods, especially on smaller datasets.",2024-03-15
"quantization avoids saddle points in distributed optimization","yanan bo, yongqiang wang","optimization and control","distributed nonconvex optimization underpins key functionalities of numerous distributed systems, ranging from power systems, smart buildings, cooperative robots, vehicle networks to sensor networks. recently, it has also merged as a promising solution to handle the enormous growth in data and model sizes in deep learning. a fundamental problem in distributed nonconvex optimization is avoiding convergence to saddle points, which significantly degrade optimization accuracy. we discover that the process of quantization, which is necessary for all digital communications, can be exploited to enable saddle-point avoidance. more specifically, we propose a stochastic quantization scheme and prove that it can effectively escape saddle points and ensure convergence to a second-order stationary point in distributed nonconvex optimization. with an easily adjustable quantization granularity, the approach allows a user to control the number of bits sent per iteration and, hence, to aggressively reduce the communication overhead. numerical experimental results using distributed optimization and learning problems on benchmark datasets confirm the effectiveness of the approach.",2024-03-15
"fischer decompositions for entire functions of sufficiently low order","j. m. aldaz, h. render","analysis of pdes","the existence of decompositions of the form $f=p\cdot q+r$ with $p_k^{\ast}\left( d\right) r=0 $, where $f$ is entire, $p$ a polynomial and $p^{\ast}_k$ the principal part of $p$ with its coefficients conjugated, was achieved in \cite{alre23} under certain restrictions on the order of $f$. here we prove uniqueness, thereby obtaining fischer decompositions, under conditions that sometimes match those required for existence, and sometimes are more restrictive, depending on the parameters involved.",2024-03-15
"robust sparse estimation for gaussians with optimal error under huber contamination","ilias diakonikolas, daniel m. kane, sushrut karmalkar, ankit pensia, thanasis pittas","machine learning","we study gaussian sparse estimation tasks in huber's contamination model with a focus on mean estimation, pca, and linear regression. for each of these tasks, we give the first sample and computationally efficient robust estimators with optimal error guarantees, within constant factors. all prior efficient algorithms for these tasks incur quantitatively suboptimal error. concretely, for gaussian robust $k$-sparse mean estimation on $\mathbb{r}^d$ with corruption rate $\epsilon>0$, our algorithm has sample complexity $(k^2/\epsilon^2)\mathrm{polylog}(d/\epsilon)$, runs in sample polynomial time, and approximates the target mean within $\ell_2$-error $o(\epsilon)$. previous efficient algorithms inherently incur error $\omega(\epsilon \sqrt{\log(1/\epsilon)})$. at the technical level, we develop a novel multidimensional filtering method in the sparse regime that may find other applications.",2024-03-15
"action functional as early warning indicator in the space of probability measures","peng zhang, ting gao, jin guo, jinqiao duan","dynamical systems","in neuroscience, scientists have some hypotheses on the brain's critical dynamics, which means the brain may stay in a phase transition state between ordered and disordered activities. some tipping points, as a past of no return, can be critical for neural diseases. therefore, a key question is how the critical brain hypothesis relates to pathological conditions compared with normal brain functionality. action functional between two meta-stable states in stochastic dynamical systems is a good tool to study the critical transition and tipping. here we extend the conventional onsager-machlup action functional of finding the most probable transition pathway to be looking for the evolutionary transition dynamics between two meta-stable invariant sets. hence a rich theory from schrödinger bridge and optimal transport is brought in to solve this problem. furthermore, different from various early warning indicators via statistics, bifurcation theory, information theory, statistical physics, topology, graph theory, we propose a novel viewpoint of early warning indicators in the space of probability measure, which facilitates us to build indicators based on action functional. to validate our framework, we apply this methodology to a morris-lecar model introduced to analyze the transition dynamics between a meta-stable state and the homo-clinic orbit. besides, the real alzheimer's data from adni database is also investigated to study the early warning signals of transition from healthy to pre-ad states. this framework not only extends the transition path to be pathway measures between two given densities on invariant sets but also shows potential ability for early warning indicators or biomarkers in complex diseases.",2024-03-15
"modeling the spread of covid-19 in university communities","jeffrey w. herrmann, hongjie liu, donald k. milton","populations and evolution","mathematical and simulation models are often used to predict the spread of a disease and estimate the impact of public health interventions, and many such models have been developed and used during the covid-19 pandemic. this paper describes a study that systematically compared models for a university community, which has a much smaller but more connected population than a state or nation. we developed a stochastic agent-based model, a deterministic compartment model, and a model based on ordinary differential equations. all three models represented the disease progression with the same susceptible-exposed-infectious-recovered (seir) model. we created a baseline scenario for a population of 14,000 students and faculty and eleven other scenarios for combinations of interventions such as regular testing, contact tracing, quarantine, isolation, moving courses online, mask wearing, improving ventilation, and vaccination. we used parameter values from other epidemiological studies and incorporated data about covid-19 testing in college park, maryland, but the study was designed to compare modeling approaches to each other using a synthetic population. for each scenario we used the models to estimate the number of persons who become infected over a semester of 119 days. we evaluated the models by comparing their predictions and evaluating their parsimony and computational effort. the agent-based model (abm) and the deterministic compartment model (dcm) had similar results with cyclic flow of persons to and from quarantine, but the model based on ordinary differential equations failed to capture these dynamics. the abm's computation time was much greater than the other two models' computation time. the dcm captured some of the dynamics that were present in the abm's predictions and, like those from the abm, clearly showed the importance of testing and moving classes on-line.",2024-03-15
"a fischer type decomposition theorem from the apolar inner product","j. m. aldaz, h. render","analysis of pdes","we continue the study initiated by h. s. shapiro on fischer decompositions of entire functions, showing that such decomposition exist in a weak sense (we do not prove uniqueness) under hypotheses regarding the order of the entire function $f$ to be expressed as $f= p\cdot q+r$, the polynomial $p$, and bounds on the apolar norm of homogeneous polynomials of degree $m$. these bounds, previously used by khavinson and shapiro, and by ebenfelt and shapiro, can be interpreted as a quantitative, asymptotic strengthening of bombieri's inequality. in the special case where both the dimension of the space and the degree of $p$ are two, we characterize for which polynomials $p$ such bounds hold.",2024-03-15
"learning of nash equilibria in risk-averse games","zifan wang, yi shen, michael m. zavlanos, karl h. johansson","optimization and control","this paper considers risk-averse learning in convex games involving multiple agents that aim to minimize their individual risk of incurring significantly high costs. specifically, the agents adopt the conditional value at risk (cvar) as a risk measure with possibly different risk levels. to solve this problem, we propose a first-order risk-averse leaning algorithm, in which the cvar gradient estimate depends on an estimate of the value at risk (var) value combined with the gradient of the stochastic cost function. although estimation of the cvar gradients using finitely many samples is generally biased, we show that the accumulated error of the cvar gradient estimates is bounded with high probability. moreover, assuming that the risk-averse game is strongly monotone, we show that the proposed algorithm converges to the risk-averse nash equilibrium. we present numerical experiments on a cournot game example to illustrate the performance of the proposed method.",2024-03-15
"fano fibrations and dk conjecture for relative grassmann flips","marco rampazzo","algebraic geometry","given a vector bundle $\mathcal e$ on a smooth projective variety $b$, the flag bundle $\mathcal f l(1,2,\mathcal e)$ admits two projective bundle structures over the grassmann bundles $\mathcal g r(1, \mathcal e)$ and $g r(2, \mathcal e)$. the data of a general section of a suitably defined line bundle on $\mathcal f l(1,2,\mathcal e)$ defines two varieties: a cover $x_1$ of $b$ and a fibration $x_2$ on $b$ with general fiber isomorphic to a smooth fano variety. we construct a semiorthogonal decomposition of the derived category of $x_2$ which consists of a list of exceptional objects and a subcategory equivalent to the derived category of $x_1$. as a byproduct, we obtain a new full exceptional collection for the fano fourfold of degree $12$ and genus $7$. any birational map of smooth projective varieties which is resolved by blowups with exceptional divisor $\mathcal f l(1, 2, \mathcal e)$ is an instance of a so-called grassmann flip: we prove that the dk conjecture of bondal-orlov and kawamata holds for such flips. this generalizes a previous result of leung and xie to a relative setting.",2024-03-15
"scattering between a vortex dipole and a point vortex: insights from a new phase plane","atul anurag, roy h. goodman, ellison k. o'grady","dynamical systems","we study the scattering of a vortex dipole by a point vortex in the helmholtz model of point-vortex interactions. we reduce a system of three vortices by stages to a one-degree-of-freedom conservative system. we relate properties of the scattering dynamics to features in the phase space of the reduced system. we first change variables to the jacobi coordinates, followed by a nambu reduction. this shows that the natural phase space of this problem is the upper sheet of a two-sheeted hyperboloid, which degenerates to an upper half-cone in a critical case. gröbli (1877) derived the standard reduction of this system in which the system's state is represented by the lengths of the triangle's sides. the new coordinate system overcomes two related shortcomings of gröbli's reduction that have made understanding the dynamics difficult: the lack of a phase plane and the singularity at all configurations in which the vortices are collinear. we then generalize the problem to consider when the circulation of the third, initially stationary, vortex differs from the circulations of the two that form the propagating dipole.",2024-03-15
"hessian-free force-gradient integrators","kevin schäfers, jacob finkenrath, michael günther, francesco knechtli","numerical analysis","we propose a new framework of hessian-free force-gradient integrators that do not require the analytical expression of the force-gradient term based on the hessian of the potential. due to that the new class of decomposition algorithms for separable hamiltonian systems with quadratic kinetic energy may be particularly useful when applied to hamiltonian systems where an evaluation of the hessian is significantly more expensive than an evaluation of its gradient, e.g. in molecular dynamics simulations of classical systems. numerical experiments of an n-body problem, as well as applications to the molecular dynamics step in the hybrid monte carlo (hmc) algorithm for lattice simulations of the schwinger model and quantum chromodynamics (qcd) verify these expectations.",2024-03-15
"a graded schur lemma and a graded-monoidal structure for induced modules over graded-commutative algebras","jürgen fuchs, tobias grøsfjeld","quantum algebra","we consider algebras and frobenius algebras, internal to a monoidal category, that are graded over a finite abelian group. for the case that a is a twisted group algebra in a linear abelian monoidal category we obtain a graded generalization of the schur lemma for the category of induced a-modules. we further show that if the monoidal category is braided and a is commutative up to a bicharacter of the grading group, then the category of induced a-modules can be endowed with a graded-monoidal structure that is twisted by the bicharacter. in the particular case that the grading group is z/2z, these findings reproduce known results about superalgebras and super-monoidal structures.",2024-03-15
"an inflated dynamic laplacian to track the emergence and disappearance of semi-material coherent sets","jason atnip, gary froyland, péter koltai","fluid dynamics","lagrangian methods continue to stand at the forefront of the analysis of time-dependent dynamical systems. most lagrangian methods have criteria that must be fulfilled by trajectories as they are followed throughout a given finite flow duration. this key strength of lagrangian methods can also be a limitation in more complex evolving environments. it places a high importance on selecting a time window that produces useful results, and these results may vary significantly with changes in the flow duration. we show how to overcome this drawback in the tracking of coherent flow features. finite-time coherent sets (ftcs) are material objects that strongly resist mixing in complicated nonlinear flows. like other materially coherent objects, by definition they must retain their coherence properties throughout the specified flow duration. recent work [froyland and koltai, cpam, 2023] introduced the notion of semi-material ftcs, whereby a balance is struck between the material nature and the coherence properties of ftcs. this balance provides the flexibility for ftcs to come and go, merge and separate, or undergo other changes as the governing unsteady flow experiences dramatic shifts. the purpose of this work is to illustrate the utility of the inflated dynamic laplacian introduced in [froyland and koltai, cpam, 2023] in a range of dynamical systems that are challenging to analyse by standard lagrangian means, and to provide an efficient meshfree numerical approach for the discretisation of the inflated dynamic laplacian.",2024-03-15
"eigenstate thermalization hypothesis for wigner-type matrices","volodymyr riabov, lászló erdős","probability","we prove the eigenstate thermalization hypothesis for general wigner-type matrices in the bulk of the self-consistent spectrum, with optimal control on the fluctuations for observables of arbitrary rank. as the main technical ingredient, we prove rank-uniform optimal local laws for one and two resolvents of a wigner-type matrix with regular observables.",2024-03-15
"resolving full-wave through-wall transmission effects in multi-static synthetic aperture radar","francis watson, daniel andre, william robert breckon lionheart","numerical analysis","through-wall synthetic aperture radar (sar) imaging is of significant interest for security purposes, in particular when using multi-static sar systems consisting of multiple distributed radar transmitters and receivers to improve resolution and the ability to recognise objects. yet there is a significant challenge in forming focused, useful images due to multiple scattering effects through walls, whereas standard sar imaging has an inherent single scattering assumption. this may be exacerbated with multi-static collections, since different scattering events will be observed from each angle and the data may not coherently combine well in a naive manner. to overcome this, we propose an image formation method which resolves full-wave effects through an approximately known wall or other arbitrary obstacle, which itself has some unknown ""nuisance"" parameters that are determined as part of the reconstruction to provide well focused images. the method is more flexible and realistic than existing methods which treat a single wall as a flat layered medium, whilst being significantly computationally cheaper than full-wave methods, strongly motivated by practical considerations for through-wall sar.",2024-03-15
"goodness-of-fit for conditional distributions: an approach using principal component analysis and component selection","cui rui, li yuhao","econometrics","this paper introduces a novel goodness-of-fit test technique for parametric conditional distributions. the proposed tests are based on a residual marked empirical process, for which we develop a conditional principal component analysis. the obtained components provide a basis for various types of new tests in addition to the omnibus one. component tests that based on each component serve as experts in detecting certain directions. smooth tests that assemble a few components are also of great use in practice. to further improve testing efficiency, we introduce a component selection approach, aiming to identify the most contributory components. the finite sample performance of the proposed tests is illustrated through monte carlo experiments.",2024-03-15
"on the product of periodic distributions. product in shift-invariant spaces","aleksandar aksentijević, suzana aleksić, stevan pilipović","functional analysis","we connect through the fourier transform shift-invariant sobolev type spaces $v_s\subset h^s$, $s\in\mathbb r,$ and the spaces of periodic distributions and analyze the properties of elements in such spaces with respect to the product. if the series expansions of two periodic distributions have compatible coefficient estimates, then their product is a periodic tempered distribution. we connect product of tempered distributions with the product of shift-invariant elements of $v_s$. the idea for the analysis of products comes from the hörmander's description of the sobolev type wave front in connection with the product of distributions. coefficient compatibility for the product of $f$ and $g$ in the case of ""good"" position of their sobolev type wave fronts is proved in the 2-dimensional case. for larger dimension it is an open problem because of the difficulties on the description of the intersection of cones in dimension $d\geqslant3$.",2024-03-15
"bi-lagrangian structures and the space of rays","wojciech domitrz, marcin zubilewicz","differential geometry","this paper focuses on local curvature invariants associated with bi-lagrangian structures. we establish several geometric conditions that determine when the canonical connection is flat, building on our previous findings regarding divergence-free webs. addressing questions raised by tabachnikov, we provide complete solutions to two problems: the existence of flat bi-lagrangian structures within the space of rays induced by a pair of hypersurfaces, and the existence of flat bi-lagrangian structures induced by tangents to lagrangian curves in the symplectic plane.",2024-03-15
"multi-source localization and data association for time-difference of arrival measurements","gabrielle flood, filip elvander","signal processing","in this work, we consider the problem of localizing multiple signal sources based on time-difference of arrival (tdoa) measurements. in the blind setting, in which the source signals are not known, the localization task is challenging due to the data association problem. that is, it is not known which of the tdoa measurements correspond to the same source. herein, we propose to perform joint localization and data association by means of an optimal transport formulation. the method operates by finding optimal groupings of tdoa measurements and associating these with candidate source locations. to allow for computationally feasible localization in three-dimensional space, an efficient set of candidate locations is constructed using a minimal multilateration solver based on minimal sets of receiver pairs. in numerical simulations, we demonstrate that the proposed method is robust both to measurement noise and tdoa detection errors. furthermore, it is shown that the data association provided by the proposed method allows for statistically efficient estimates of the source locations.",2024-03-15
