"","title","author","subject","abstract","meta"
"11","Stochastic integration with respect to cylindrical Lévy processes in Hilbert spaces","Gergely Bodó, Markus Riedle","Probability (math.PR)","In this work, we present a comprehensive theory of stochastic integration with respect to arbitrary cylindrical Lévy processes in Hilbert spaces. Since cylindrical Lévy processes do not enjoy a semi-martingale decomposition, our approach relies on an alternative approach to stochastic integration by decoupled tangent sequences. The space of deterministic integrands is identified as a modular space described in terms of the characteristics of the cylindrical Lévy process. The space of random integrands is described as the space of predictable processes whose trajectories are in the space of deterministic integrands almost surely. The derived space of random integrands is verified as the largest space of potential integrands, based on a classical definition of stochastic integrability. We apply the introduced theory of stochastic integration to establish a dominated convergence theorem.","Fri, 15 Mar 2024 16:41:47 UTC (37 KB)"
"12","Stationary non-radial localized patterns in the planar Swift-Hohenberg PDE: constructive proofs of existence","Matthieu Cadiot, Jean-Philippe Lessard, Jean-Christophe Nave","Analysis of PDEs (math.AP)","In this paper, we present a methodology for establishing constructive proofs of existence of smooth, stationary, non-radial localized patterns in the planar Swift-Hohenberg equation. Specifically, given an approximate solution $u_0$, we construct an approximate inverse for the linearization around $u_0$, enabling the development of a Newton-Kantorovich approach. Consequently, we derive a sufficient condition for the existence of a unique localized pattern in the vicinity of $u_0$. The verification of this condition is facilitated through a combination of analytic techniques and rigorous numerical computations. Moreover, an additional condition is derived, establishing that the localized pattern serves as the limit of a family of periodic solutions (in space) as the period tends to infinity. The integration of analytical tools and meticulous numerical analysis ensures a comprehensive validation of this condition. To illustrate the efficacy of the proposed methodology, we present computer-assisted proofs for the existence of three distinct unbounded branches of periodic solutions in the planar Swift-Hohenberg equation, all converging towards a localized planar pattern, whose existence is also proven constructively. All computer-assisted proofs, including the requisite codes, are accessible on GitHub at \cite{julia_cadiot}.","Fri, 15 Mar 2024 16:33:57 UTC (2,145 KB)"
"13","Excluding cosmetic surgeries on hyperbolic 3-manifolds","David Futer, Jessica S. Purcell, Saul Schleimer","Geometric Topology (math.GT)","This paper employs knot invariants and results from hyperbolic geometry to develop a practical procedure for checking the cosmetic surgery conjecture on any given one-cusped manifold. This procedure has been used to establish the following computational results. First, we verify that all knots up to 19 crossings, and all one-cusped 3-manifolds in the SnapPy census, do not admit any purely cosmetic surgeries. Second, we check that a hyperbolic knot with at most 15 crossings only admits chirally cosmetic surgeries when the knot itself is amphicheiral. Third, we enumerate all knots up to 13 crossings that share a common Dehn fillings with the figure-8 knot. The code that verifies these results is publicly available on GitHub.","Fri, 15 Mar 2024 16:31:27 UTC (54 KB)"
"14","Free Doubly-Infinitary Distributive Categories are Cartesian Closed","Fernando Lucatelli Nunes, Matthijs Vákár","Category Theory (math.CT)","We delve into the concept of categories with products that distribute over coproducts, which we call doubly-infinitary distributive categories. We show various instances of doubly-infinitary distributive categories aiming for a comparative analysis with established notions such as extensivity, infinitary distributiveness, and cartesian closedness. Our exploration reveals that this condition represents a substantial extension beyond the classical understanding of infinitary distributive categories. Our main theorem establishes that free doubly-infinitary distributive categories are cartesian closed. We end the paper with remarks on non-canonical isomorphisms, open questions, and future work.","Fri, 15 Mar 2024 16:30:41 UTC (30 KB)"
"15","Boundedness properties of modified averaging operators","J. M. Aldaz, A. Caldera","Functional Analysis (math.FA)","We study certain boundedness properties of modified averaging operators, showing that on geometrically doubling spaces superaveraging operators are always $L^1$-bounded (but not necessarily $L^p$-bounded for $p > 1$). In turn, the $L^1$ boundedness of the superaveraging operators for any $t > 1$, entails that the space is geometrically doubling.","Fri, 15 Mar 2024 16:28:55 UTC (13 KB)"
"16","A Mean-Field Game of Market Entry: Portfolio Liquidation with Trading Constraints","Guanxing Fu, Paul P. Hager, Ulrich Horst","Mathematical Finance (q-fin.MF)","We consider both $N$-player and mean-field games of optimal portfolio liquidation in which the players are not allowed to change the direction of trading. Players with an initially short position of stocks are only allowed to buy while players with an initially long position are only allowed to sell the stock. Under suitable conditions on the model parameters we show that the games are equivalent to games of timing where the players need to determine the optimal times of market entry and exit. We identify the equilibrium entry and exit times and prove that equilibrium mean-trading rates can be characterized in terms of the solutions to a highly non-linear higher-order integral equation with endogenous terminal condition. We prove the existence of a unique solution to the integral equation from which we obtain the existence of a unique equilibrium both in the mean-field and the $N$-player game.","Fri, 15 Mar 2024 16:27:30 UTC (83 KB)"
"17","Boundedness of some convolution-type operators on metric measure spaces","J. M. Aldaz","Functional Analysis (math.FA)","We explore boundedness properties in the context of metric measure spaces, of some natural operators of convolution type whose study is suggested by certain transformations used in computer vision.","Fri, 15 Mar 2024 16:20:36 UTC (11 KB)"
"18","Model free collision aggregation for the computation of escape distributions","Laetitia Laguzet, Gabriel Turinici","Computational Physics (physics.comp-ph)","Motivated by a heat radiative transport equation, we consider a particle undergoing collisions in a space-time domain and propose a method to sample its escape time, space and direction from the domain. The first step of the procedure is an estimation of how many elementary collisions is safe to take before chances of exiting the domain are too high; then these collisions are aggregated into a single movement. The method does not use any model nor any particular regime of parameters. We give theoretical results both under the normal approximation and without it and test the method on some benchmarks from the literature. The results confirm the theoretical predictions and show that the proposal is an efficient method to sample the escape distribution of the particle.","Fri, 15 Mar 2024 16:10:36 UTC (754 KB)"
"19","Construction of Arithmetic Teichmuller Spaces IV: Proof of the abc-conjecture","Kirti Joshi","Algebraic Geometry (math.AG)","This is a continuation of my work on Arithmetic Teichmuller Spaces developed in the present series of papers. In this paper, I show that the Theory of Arithmetic Teichmuller Spaces leads, using Shinichi Mochizuki's rubric, to a proof of the $abc$-conjecture (as asserted by Mochizuki).","Fri, 15 Mar 2024 16:07:36 UTC (97 KB)"
"20","Convergence and Trade-Offs in Riemannian Gradient Descent and Riemannian Proximal Point","David Martínez-Rubio, Christophe Roux, Sebastian Pokutta","Optimization and Control (math.OC)","In this work, we analyze two of the most fundamental algorithms in geodesically convex optimization: Riemannian gradient descent and (possibly inexact) Riemannian proximal point. We quantify their rates of convergence and produce different variants with several trade-offs. Crucially, we show the iterates naturally stay in a ball around an optimizer, of radius depending on the initial distance and, in some cases, on the curvature. In contrast, except for limited cases, previous works bounded the maximum distance between iterates and an optimizer only by assumption, leading to incomplete analyses and unquantified rates. We also provide an implementable inexact proximal point algorithm yielding new results on minmax problems, and we prove several new useful properties of Riemannian proximal methods: they work when positive curvature is present, the proximal operator does not move points away from any optimizer, and we quantify the smoothness of its induced Moreau envelope. Further, we explore beyond our theory with empirical tests.","Fri, 15 Mar 2024 16:06:40 UTC (2,505 KB)"
"21","Structured Evaluation of Synthetic Tabular Data","Scott Cheng-Hsin Yang, Baxter Eaves, Michael Schmidt, Ken Swanson, Patrick Shafto","Machine Learning (cs.LG)","Tabular data is common yet typically incomplete, small in volume, and access-restricted due to privacy concerns. Synthetic data generation offers potential solutions. Many metrics exist for evaluating the quality of synthetic tabular data; however, we lack an objective, coherent interpretation of the many metrics. To address this issue, we propose an evaluation framework with a single, mathematical objective that posits that the synthetic data should be drawn from the same distribution as the observed data. Through various structural decomposition of the objective, this framework allows us to reason for the first time the completeness of any set of metrics, as well as unifies existing metrics, including those that stem from fidelity considerations, downstream application, and model-based approaches. Moreover, the framework motivates model-free baselines and a new spectrum of metrics. We evaluate structurally informed synthesizers and synthesizers powered by deep learning. Using our structured framework, we show that synthetic data generators that explicitly represent tabular structure outperform other methods, especially on smaller datasets.","Fri, 15 Mar 2024 15:58:37 UTC (112 KB)"
"22","Quantization Avoids Saddle Points in Distributed Optimization","Yanan Bo, Yongqiang Wang","Optimization and Control (math.OC)","Distributed nonconvex optimization underpins key functionalities of numerous distributed systems, ranging from power systems, smart buildings, cooperative robots, vehicle networks to sensor networks. Recently, it has also merged as a promising solution to handle the enormous growth in data and model sizes in deep learning. A fundamental problem in distributed nonconvex optimization is avoiding convergence to saddle points, which significantly degrade optimization accuracy. We discover that the process of quantization, which is necessary for all digital communications, can be exploited to enable saddle-point avoidance. More specifically, we propose a stochastic quantization scheme and prove that it can effectively escape saddle points and ensure convergence to a second-order stationary point in distributed nonconvex optimization. With an easily adjustable quantization granularity, the approach allows a user to control the number of bits sent per iteration and, hence, to aggressively reduce the communication overhead. Numerical experimental results using distributed optimization and learning problems on benchmark datasets confirm the effectiveness of the approach.","Fri, 15 Mar 2024 15:58:20 UTC (2,937 KB)"
"23","Fischer decompositions for entire functions of sufficiently low order","J. M. Aldaz, H. Render","Analysis of PDEs (math.AP)","The existence of decompositions of the form $f=P\cdot q+r$ with $P_k^{\ast}\left( D\right) r=0 $, where $f$ is entire, $P$ a polynomial and $P^{\ast}_k$ the principal part of $P$ with its coefficients conjugated, was achieved in \cite{AlRe23} under certain restrictions on the order of $f$. Here we prove uniqueness, thereby obtaining Fischer decompositions, under conditions that sometimes match those required for existence, and sometimes are more restrictive, depending on the parameters involved.","Fri, 15 Mar 2024 15:54:58 UTC (10 KB)"
"24","Robust Sparse Estimation for Gaussians with Optimal Error under Huber Contamination","Ilias Diakonikolas, Daniel M. Kane, Sushrut Karmalkar, Ankit Pensia, Thanasis Pittas","Machine Learning (cs.LG)","We study Gaussian sparse estimation tasks in Huber's contamination model with a focus on mean estimation, PCA, and linear regression. For each of these tasks, we give the first sample and computationally efficient robust estimators with optimal error guarantees, within constant factors. All prior efficient algorithms for these tasks incur quantitatively suboptimal error. Concretely, for Gaussian robust $k$-sparse mean estimation on $\mathbb{R}^d$ with corruption rate $\epsilon>0$, our algorithm has sample complexity $(k^2/\epsilon^2)\mathrm{polylog}(d/\epsilon)$, runs in sample polynomial time, and approximates the target mean within $\ell_2$-error $O(\epsilon)$. Previous efficient algorithms inherently incur error $\Omega(\epsilon \sqrt{\log(1/\epsilon)})$. At the technical level, we develop a novel multidimensional filtering method in the sparse regime that may find other applications.","Fri, 15 Mar 2024 15:51:27 UTC (45 KB)"
"25","Action Functional as Early Warning Indicator in the Space of Probability Measures","Peng Zhang, Ting Gao, Jin Guo, Jinqiao Duan","Dynamical Systems (math.DS)","In neuroscience, scientists have some hypotheses on the brain's critical dynamics, which means the brain may stay in a phase transition state between ordered and disordered activities. Some tipping points, as a past of no return, can be critical for neural diseases. Therefore, a key question is how the critical brain hypothesis relates to pathological conditions compared with normal brain functionality. Action functional between two meta-stable states in stochastic dynamical systems is a good tool to study the critical transition and tipping. Here we extend the conventional Onsager-Machlup action functional of finding the most probable transition pathway to be looking for the evolutionary transition dynamics between two meta-stable invariant sets. Hence a rich theory from Schrödinger Bridge and Optimal Transport is brought in to solve this problem. Furthermore, different from various early warning indicators via statistics, bifurcation theory, information theory, statistical physics, topology, graph theory, we propose a novel viewpoint of early warning indicators in the space of probability measure, which facilitates us to build indicators based on action functional. To validate our framework, we apply this methodology to a Morris-Lecar model introduced to analyze the transition dynamics between a meta-stable state and the homo-clinic orbit. Besides, the real Alzheimer's data from ADNI database is also investigated to study the early warning signals of transition from healthy to pre-AD states. This framework not only extends the transition path to be pathway measures between two given densities on invariant sets but also shows potential ability for early warning indicators or biomarkers in complex diseases.","Fri, 15 Mar 2024 15:38:15 UTC (3,938 KB)"
"26","Modeling the Spread of COVID-19 in University Communities","Jeffrey W. Herrmann, Hongjie Liu, Donald K. Milton","Populations and Evolution (q-bio.PE)","Mathematical and simulation models are often used to predict the spread of a disease and estimate the impact of public health interventions, and many such models have been developed and used during the COVID-19 pandemic. This paper describes a study that systematically compared models for a university community, which has a much smaller but more connected population than a state or nation. We developed a stochastic agent-based model, a deterministic compartment model, and a model based on ordinary differential equations. All three models represented the disease progression with the same susceptible-exposed-infectious-recovered (SEIR) model. We created a baseline scenario for a population of 14,000 students and faculty and eleven other scenarios for combinations of interventions such as regular testing, contact tracing, quarantine, isolation, moving courses online, mask wearing, improving ventilation, and vaccination. We used parameter values from other epidemiological studies and incorporated data about COVID-19 testing in College Park, Maryland, but the study was designed to compare modeling approaches to each other using a synthetic population. For each scenario we used the models to estimate the number of persons who become infected over a semester of 119 days. We evaluated the models by comparing their predictions and evaluating their parsimony and computational effort. The agent-based model (ABM) and the deterministic compartment model (DCM) had similar results with cyclic flow of persons to and from quarantine, but the model based on ordinary differential equations failed to capture these dynamics. The ABM's computation time was much greater than the other two models' computation time. The DCM captured some of the dynamics that were present in the ABM's predictions and, like those from the ABM, clearly showed the importance of testing and moving classes on-line.","Fri, 15 Mar 2024 15:36:14 UTC (829 KB)"
"27","A Fischer type decomposition theorem from the apolar inner product","J. M. Aldaz, H. Render","Analysis of PDEs (math.AP)","We continue the study initiated by H. S. Shapiro on Fischer decompositions of entire functions, showing that such decomposition exist in a weak sense (we do not prove uniqueness) under hypotheses regarding the order of the entire function $f$ to be expressed as $f= P\cdot q+r$, the polynomial $P$, and bounds on the apolar norm of homogeneous polynomials of degree $m$. These bounds, previously used by Khavinson and Shapiro, and by Ebenfelt and Shapiro, can be interpreted as a quantitative, asymptotic strengthening of Bombieri's inequality. In the special case where both the dimension of the space and the degree of $P$ are two, we characterize for which polynomials $P$ such bounds hold.","Fri, 15 Mar 2024 15:34:57 UTC (22 KB)"
"28","Learning of Nash Equilibria in Risk-Averse Games","Zifan Wang, Yi Shen, Michael M. Zavlanos, Karl H. Johansson","Optimization and Control (math.OC)","This paper considers risk-averse learning in convex games involving multiple agents that aim to minimize their individual risk of incurring significantly high costs. Specifically, the agents adopt the conditional value at risk (CVaR) as a risk measure with possibly different risk levels. To solve this problem, we propose a first-order risk-averse leaning algorithm, in which the CVaR gradient estimate depends on an estimate of the Value at Risk (VaR) value combined with the gradient of the stochastic cost function. Although estimation of the CVaR gradients using finitely many samples is generally biased, we show that the accumulated error of the CVaR gradient estimates is bounded with high probability. Moreover, assuming that the risk-averse game is strongly monotone, we show that the proposed algorithm converges to the risk-averse Nash equilibrium. We present numerical experiments on a Cournot game example to illustrate the performance of the proposed method.","Fri, 15 Mar 2024 15:32:56 UTC (820 KB)"
"29","Fano fibrations and DK conjecture for relative Grassmann flips","Marco Rampazzo","Algebraic Geometry (math.AG)","Given a vector bundle $\mathcal E$ on a smooth projective variety $B$, the flag bundle $\mathcal F l(1,2,\mathcal E)$ admits two projective bundle structures over the Grassmann bundles $\mathcal G r(1, \mathcal E)$ and $G r(2, \mathcal E)$. The data of a general section of a suitably defined line bundle on $\mathcal F l(1,2,\mathcal E)$ defines two varieties: a cover $X_1$ of $B$ and a fibration $X_2$ on $B$ with general fiber isomorphic to a smooth Fano variety. We construct a semiorthogonal decomposition of the derived category of $X_2$ which consists of a list of exceptional objects and a subcategory equivalent to the derived category of $X_1$. As a byproduct, we obtain a new full exceptional collection for the Fano fourfold of degree $12$ and genus $7$. Any birational map of smooth projective varieties which is resolved by blowups with exceptional divisor $\mathcal F l(1, 2, \mathcal E)$ is an instance of a so-called Grassmann flip: we prove that the DK conjecture of Bondal-Orlov and Kawamata holds for such flips. This generalizes a previous result of Leung and Xie to a relative setting.","Fri, 15 Mar 2024 15:24:14 UTC (44 KB)"
"30","Scattering between a vortex dipole and a point vortex: insights from a new phase plane","Atul Anurag, Roy H. Goodman, Ellison K. O'Grady","Dynamical Systems (math.DS)","We study the scattering of a vortex dipole by a point vortex in the Helmholtz model of point-vortex interactions. We reduce a system of three vortices by stages to a one-degree-of-freedom conservative system. We relate properties of the scattering dynamics to features in the phase space of the reduced system. We first change variables to the Jacobi coordinates, followed by a Nambu reduction. This shows that the natural phase space of this problem is the upper sheet of a two-sheeted hyperboloid, which degenerates to an upper half-cone in a critical case. Gröbli (1877) derived the standard reduction of this system in which the system's state is represented by the lengths of the triangle's sides. The new coordinate system overcomes two related shortcomings of Gröbli's reduction that have made understanding the dynamics difficult: the lack of a phase plane and the singularity at all configurations in which the vortices are collinear. We then generalize the problem to consider when the circulation of the third, initially stationary, vortex differs from the circulations of the two that form the propagating dipole.","Fri, 15 Mar 2024 15:14:01 UTC (946 KB)"
"31","Hessian-free force-gradient integrators","Kevin Schäfers, Jacob Finkenrath, Michael Günther, Francesco Knechtli","Numerical Analysis (math.NA)","We propose a new framework of Hessian-free force-gradient integrators that do not require the analytical expression of the force-gradient term based on the Hessian of the potential. Due to that the new class of decomposition algorithms for separable Hamiltonian systems with quadratic kinetic energy may be particularly useful when applied to Hamiltonian systems where an evaluation of the Hessian is significantly more expensive than an evaluation of its gradient, e.g. in molecular dynamics simulations of classical systems. Numerical experiments of an N-body problem, as well as applications to the molecular dynamics step in the Hybrid Monte Carlo (HMC) algorithm for lattice simulations of the Schwinger model and Quantum Chromodynamics (QCD) verify these expectations.","Fri, 15 Mar 2024 15:01:39 UTC (196 KB)"
"32","A Graded Schur Lemma and a graded-monoidal structure for induced modules over graded-commutative algebras","Jürgen Fuchs, Tobias Grøsfjeld","Quantum Algebra (math.QA)","We consider algebras and Frobenius algebras, internal to a monoidal category, that are graded over a finite abelian group. For the case that A is a twisted group algebra in a linear abelian monoidal category we obtain a graded generalization of the Schur Lemma for the category of induced A-modules. We further show that if the monoidal category is braided and A is commutative up to a bicharacter of the grading group, then the category of induced A-modules can be endowed with a graded-monoidal structure that is twisted by the bicharacter. In the particular case that the grading group is Z/2Z, these findings reproduce known results about superalgebras and super-monoidal structures.","Fri, 15 Mar 2024 14:58:31 UTC (36 KB)"
"33","An inflated dynamic Laplacian to track the emergence and disappearance of semi-material coherent sets","Jason Atnip, Gary Froyland, Péter Koltai","Fluid Dynamics (physics.flu-dyn)","Lagrangian methods continue to stand at the forefront of the analysis of time-dependent dynamical systems. Most Lagrangian methods have criteria that must be fulfilled by trajectories as they are followed throughout a given finite flow duration. This key strength of Lagrangian methods can also be a limitation in more complex evolving environments. It places a high importance on selecting a time window that produces useful results, and these results may vary significantly with changes in the flow duration. We show how to overcome this drawback in the tracking of coherent flow features. Finite-time coherent sets (FTCS) are material objects that strongly resist mixing in complicated nonlinear flows. Like other materially coherent objects, by definition they must retain their coherence properties throughout the specified flow duration. Recent work [Froyland and Koltai, CPAM, 2023] introduced the notion of semi-material FTCS, whereby a balance is struck between the material nature and the coherence properties of FTCS. This balance provides the flexibility for FTCS to come and go, merge and separate, or undergo other changes as the governing unsteady flow experiences dramatic shifts. The purpose of this work is to illustrate the utility of the inflated dynamic Laplacian introduced in [Froyland and Koltai, CPAM, 2023] in a range of dynamical systems that are challenging to analyse by standard Lagrangian means, and to provide an efficient meshfree numerical approach for the discretisation of the inflated dynamic Laplacian.","Fri, 15 Mar 2024 14:52:11 UTC (3,060 KB)"
"34","Eigenstate Thermalization Hypothesis for Wigner-type Matrices","Volodymyr Riabov, László Erdős","Probability (math.PR)","We prove the Eigenstate Thermalization Hypothesis for general Wigner-type matrices in the bulk of the self-consistent spectrum, with optimal control on the fluctuations for observables of arbitrary rank. As the main technical ingredient, we prove rank-uniform optimal local laws for one and two resolvents of a Wigner-type matrix with regular observables.","Fri, 15 Mar 2024 14:49:13 UTC (218 KB)"
